Experiment	GeneId	Symbol	Control_transcript	Case_transcript	CDS_control	CDS_case	CDS_change	UTR_change	Samples	Driver	num_samples	Pfam_change	Prosite_change	Functional	p_recurrent
ALL	ENSG00000127125.8	PPCS	ENST00000372556.3	ENST00000372561.3	1	1	1	1	TARGET-10-PAPVTA-04,TARGET-10-PARGFV-04,TARGET-10-PARNMF-04,TARGET-10-PARXMC-04	No	4	TRUE	FALSE	Yes	0.2372378134479852
ALL	ENSG00000142875.19	PRKACB	ENST00000370685.7	ENST00000610457.1	1	1	1	1	TARGET-10-PAPACP-04,TARGET-10-PARGVZ-04,TARGET-10-PARIAD-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000116406.18	EDEM3	ENST00000367512.7	ENST00000318130.12	1	1	1	1	TARGET-10-PAPIJB-04,TARGET-10-PAPNNX-04,TARGET-10-PAPZNK-04,TARGET-10-PARBVI-04,TARGET-10-PARGFV-04,TARGET-10-PARPRW-04	No	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000197872.11	FAM49A	ENST00000381323.7	ENST00000406434.5	1	1	0	1	TARGET-10-PAPSPG-04,TARGET-10-PAPZST-04,TARGET-10-PARAKF-04,TARGET-10-PARBVI-04,TARGET-10-PARLAF-04,TARGET-10-PATCTI-04	Driver	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000152518.6	ZFP36L2	ENST00000282388.3	ENST00000620081.1	1	1	1	1	TARGET-10-PAPAGK-04,TARGET-10-PAPIJB-04,TARGET-10-PAPNNX-04,TARGET-10-PAPRCS-04,TARGET-10-PAPVTA-04,TARGET-10-PARBRK-04	Driver	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000162924.13	REL	ENST00000295025.12	ENST00000394479.3	1	1	1	1	TARGET-10-PAPAGK-04,TARGET-10-PAPRCS-04,TARGET-10-PAPSPN-04,TARGET-10-PARAKF-04,TARGET-10-PARFTR-04,TARGET-10-PATCTI-04	Driver	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000072135.12	PTPN18	ENST00000175756.9	ENST00000347849.7	1	1	1	1	TARGET-10-PAPEJN-04,TARGET-10-PAPJHB-04,TARGET-10-PARAKF-04,TARGET-10-PARIAD-04,TARGET-10-PARLAF-04,TARGET-10-PASKAY-04	Driver interactor	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000198586.13	TLK1	ENST00000431350.6	ENST00000434911.6	1	1	1	1	TARGET-10-PAPMVB-04,TARGET-10-PAPSPN-04,TARGET-10-PAPZNK-04,TARGET-10-PARBRK-04,TARGET-10-PARGVZ-04,TARGET-10-PARLAF-04	Driver interactor	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000064933.16	PMS1	ENST00000432292.7	ENST00000624204.3	1	1	0	1	TARGET-10-PAPAGK-04,TARGET-10-PAPEAB-04,TARGET-10-PAPLDM-04,TARGET-10-PARPRW-04	Driver interactor	4	FALSE	FALSE	No	0.2372378134479852
ALL	ENSG00000151689.12	INPP1	ENST00000322522.8	ENST00000392329.6	1	1	0	1	TARGET-10-PANSHK-04,TARGET-10-PANXPE-04,TARGET-10-PAPMFI-04,TARGET-10-PARBVI-04,TARGET-10-PARLAF-04,TARGET-10-PARPRW-04	Driver interactor	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000065413.16	ANKRD44	ENST00000282272.12	ENST00000409919.5	1	1	1	1	TARGET-10-PAPAGK-04,TARGET-10-PAPDJM-04,TARGET-10-PAPSPG-04,TARGET-10-PAPSPN-04,TARGET-10-PARBVI-04,TARGET-10-PARGHW-04	No	6	TRUE	FALSE	Yes	0.03882977718575788
ALL	ENSG00000115365.11	LANCL1	ENST00000441020.7	ENST00000450366.6	1	1	0	1	TARGET-10-PAPDJM-04,TARGET-10-PAPLDL-04,TARGET-10-PAPVTA-04,TARGET-10-PARBVI-04,TARGET-10-PARPRW-04,TARGET-10-PASFXA-04	Driver interactor	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000168395.14	ING5	ENST00000313552.10	ENST00000406941.5	1	1	1	1	TARGET-10-PAPIJB-04,TARGET-10-PAPNMY-04,TARGET-10-PAPSPG-04,TARGET-10-PAPZNK-04,TARGET-10-PAPZST-04,TARGET-10-PATCTI-04	Driver interactor	6	FALSE	TRUE	Yes	0.03882977718575788
ALL	ENSG00000179021.9	C3orf38	ENST00000318887.7	ENST00000486971.1	1	1	1	1	TARGET-10-PAPEAB-04,TARGET-10-PAPNNX-04,TARGET-10-PAPSPG-04,TARGET-10-PARBRK-04,TARGET-10-PARGHW-04,TARGET-10-PARPRW-04	No	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000114098.17	ARMC8	ENST00000471453.5	ENST00000470821.5	1	1	1	1	TARGET-10-PANTSM-04,TARGET-10-PARBVI-04,TARGET-10-PARFTR-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000169299.13	PGM2	ENST00000381967.8	ENST00000625312.2	1	1	1	1	TARGET-10-PAPNNX-04,TARGET-10-PAPVTA-04,TARGET-10-PAPZNK-04,TARGET-10-PARAKF-04,TARGET-10-PARBVI-04,TARGET-10-PARGHW-04	No	6	TRUE	TRUE	Yes	0.03882977718575788
ALL	ENSG00000138780.14	GSTCD	ENST00000515279.5	ENST00000394730.7	1	1	1	1	TARGET-10-PANZPJ-04,TARGET-10-PAPAGK-04,TARGET-10-PAPZST-04,TARGET-10-PARMXF-04,TARGET-10-PATCTI-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000181381.13	DDX60L	ENST00000511577.5	ENST00000260184.11	1	1	1	1	TARGET-10-PANUSN-04,TARGET-10-PAPNNX-04,TARGET-10-PAPSPG-04,TARGET-10-PARPRW-04,TARGET-10-PATCTI-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000153914.15	SREK1	ENST00000334121.10	ENST00000612404.4	1	1	1	1	TARGET-10-PAPNNX-04,TARGET-10-PAPVTA-04,TARGET-10-PARBVI-04,TARGET-10-PARLAF-04	Driver interactor	4	TRUE	FALSE	Yes	0.2372378134479852
ALL	ENSG00000228716.6	DHFR	ENST00000439211.6	ENST00000504396.1	1	1	1	1	TARGET-10-PAPIJB-04,TARGET-10-PAPNFY-04,TARGET-10-PAPRCS-04,TARGET-10-PARFTR-04,TARGET-10-PARXMC-04	Driver interactor	5	FALSE	TRUE	Yes	0.10398174620766079
ALL	ENSG00000164308.16	ERAP2	ENST00000437043.7	ENST00000510309.1	1	1	1	1	TARGET-10-PAPDJM-04,TARGET-10-PAPRCS-04,TARGET-10-PAPSPG-04,TARGET-10-PAPZST-04,TARGET-10-PARGHW-04	No	5	TRUE	FALSE	Yes	0.10398174620766079
ALL	ENSG00000113441.15	LNPEP	ENST00000231368.9	ENST00000395770.3	1	1	1	1	TARGET-10-PAPAGK-04,TARGET-10-PAPNNX-04,TARGET-10-PAPSPN-04,TARGET-10-PAPZNK-04,TARGET-10-PARBRK-04,TARGET-10-PARLAF-04	No	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000112149.9	CD83	ENST00000612003.4	ENST00000379153.3	1	1	1	1	TARGET-10-PAPNNX-04,TARGET-10-PAPZST-04,TARGET-10-PARFTR-04,TARGET-10-PARGHW-04,TARGET-10-PARPRW-04,TARGET-10-PATCTI-04	No	6	TRUE	FALSE	Yes	0.03882977718575788
ALL	ENSG00000111880.15	RNGTT	ENST00000369485.8	ENST00000369475.7	1	1	1	1	TARGET-10-PAPGFP-04,TARGET-10-PAPVTA-04,TARGET-10-PARBRK-04,TARGET-10-PASFXA-04	No	4	FALSE	FALSE	No	0.2372378134479852
ALL	ENSG00000196911.9	KPNA5	ENST00000368564.5	ENST00000356348.5	1	1	0	1	TARGET-10-PAPDJM-04,TARGET-10-PAPGFP-04,TARGET-10-PAPSPN-04,TARGET-10-PAPZNK-04,TARGET-10-PARIAD-04,TARGET-10-PASFXA-04	No	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000185728.16	YTHDF3	ENST00000621957.4	ENST00000621890.4	1	1	1	1	TARGET-10-PAPAGK-04,TARGET-10-PAPRCS-04,TARGET-10-PARBRK-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000106993.11	CDC37L1	ENST00000381854.3	ENST00000381858.5	1	1	1	1	TARGET-10-PAPIJB-04,TARGET-10-PAPNNX-04,TARGET-10-PAPSPG-04,TARGET-10-PAPZNK-04,TARGET-10-PARBVI-04,TARGET-10-PASFXA-04	No	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000187753.12	C9orf153	ENST00000613665.4	ENST00000617985.1	1	1	1	1	TARGET-10-PAPDJM-04,TARGET-10-PAPIJB-04,TARGET-10-PAPLDM-04,TARGET-10-PARBRK-04,TARGET-10-PARFTR-04,TARGET-10-PARMSP-04	No	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000196642.15	RABL6	ENST00000311502.11	ENST00000371663.8	1	1	1	1	TARGET-10-PAPAGK-04,TARGET-10-PAPJIB-04,TARGET-10-PAPNFY-04,TARGET-10-PAPZST-04,TARGET-10-PARAKF-04,TARGET-10-PATCTI-04	No	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000107771.15	CCSER2	ENST00000372088.6	ENST00000359979.8	1	1	1	1	TARGET-10-PAPSPG-04,TARGET-10-PARGHW-04,TARGET-10-PARPRW-04,TARGET-10-PATCTI-04	No	4	FALSE	FALSE	No	0.2372378134479852
ALL	ENSG00000166181.12	API5	ENST00000378852.7	ENST00000455725.6	1	1	1	1	TARGET-10-PAPAGK-04,TARGET-10-PARAKF-04,TARGET-10-PARBRK-04,TARGET-10-PARGHW-04	No	4	FALSE	FALSE	No	0.2372378134479852
ALL	ENSG00000188070.9	C11orf95	ENST00000433688.2	ENST00000546282.3	1	1	1	1	TARGET-10-PANUSN-04,TARGET-10-PAPAGK-04,TARGET-10-PAPEFH-04,TARGET-10-PAPLDM-04,TARGET-10-PAPNMY-04,TARGET-10-PAPSPG-04	No	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000256940.1	RP11-783K16.5	ENST00000544553.1	ENST00000538355.1	0	0	0	1	TARGET-10-PANCVR-04,TARGET-10-PAPPGN-04,TARGET-10-PARIAD-04,TARGET-10-PARJSR-04,TARGET-10-PARJZZ-04,TARGET-10-PARNMF-04	No	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000168056.14	LTBP3	ENST00000322147.8	ENST00000529189.5	1	1	1	1	TARGET-10-PAPEFH-04,TARGET-10-PAPMFI-04,TARGET-10-PAPNFY-04,TARGET-10-PARMSP-04	No	4	TRUE	TRUE	Yes	0.2372378134479852
ALL	ENSG00000077514.8	POLD3	ENST00000263681.6	ENST00000532497.5	1	1	1	1	TARGET-10-PAPDJM-04,TARGET-10-PAPNNX-04,TARGET-10-PAPSPN-04,TARGET-10-PAPZNK-04,TARGET-10-PARLAF-04	Driver interactor	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000078124.11	ACER3	ENST00000532485.5	ENST00000533873.1	1	1	1	1	TARGET-10-PAPDJM-04,TARGET-10-PAPEFH-04,TARGET-10-PAPJIB-04,TARGET-10-PARFTR-04,TARGET-10-PARPRW-04,TARGET-10-PATCTI-04	No	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000033327.12	GAB2	ENST00000361507.4	ENST00000340149.6	1	1	1	1	TARGET-10-PANCVR-04,TARGET-10-PANXPE-04,TARGET-10-PAPDWT-04,TARGET-10-PAPJIB-04,TARGET-10-PAPMFI-04,TARGET-10-PARFLV-04	Driver	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000256594.7	RP11-705C15.2	ENST00000575094.5	ENST00000633848.1	0	0	0	1	TARGET-10-PAPECF-04,TARGET-10-PAPHJF-04,TARGET-10-PARIAD-04,TARGET-10-PARNMF-04	No	4	FALSE	FALSE	No	0.2372378134479852
ALL	ENSG00000029153.14	ARNTL2	ENST00000544915.5	ENST00000542388.1	1	1	1	1	TARGET-10-PAPMFI-04,TARGET-10-PARGFV-04,TARGET-10-PATCTI-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000135392.15	DNAJC14	ENST00000317269.7	ENST00000357606.7	1	1	0	1	TARGET-10-PANYGB-04,TARGET-10-PAPIJB-04,TARGET-10-PASHUI-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000127314.17	RAP1B	ENST00000341355.9	ENST00000450214.6	1	1	1	1	TARGET-10-PAPSPN-04,TARGET-10-PARBRK-04,TARGET-10-PARPRW-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000182957.15	SPATA13	ENST00000343003.10	ENST00000382108.7	1	1	1	1	TARGET-10-PAPNNX-04,TARGET-10-PAPRCS-04,TARGET-10-PAPSPN-04,TARGET-10-PARFTR-04,TARGET-10-PARPRW-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000152767.15	FARP1	ENST00000319562.10	ENST00000627049.2	1	1	1	1	TARGET-10-PAPGFP-04,TARGET-10-PARAKF-04,TARGET-10-PARFTR-04,TARGET-10-PARIAD-04,TARGET-10-PATCTI-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000213741.8	RPS29	ENST00000245458.10	ENST00000611563.1	1	1	1	1	TARGET-10-PANCVR-04,TARGET-10-PANUSN-04,TARGET-10-PAPHJF-04,TARGET-10-PAPZST-04,TARGET-10-PARFTR-04,TARGET-10-PARPRW-04	Driver interactor	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000125384.6	PTGER2	ENST00000245457.5	ENST00000557436.1	1	1	1	1	TARGET-10-PAPEFH-04,TARGET-10-PAPJIB-04,TARGET-10-PARBVI-04,TARGET-10-PARIAD-04,TARGET-10-PARPRW-04,TARGET-10-PASHUI-04	No	6	FALSE	TRUE	Yes	0.03882977718575788
ALL	ENSG00000196405.12	EVL	ENST00000392920.7	ENST00000402714.6	1	1	1	1	TARGET-10-PANYGB-04,TARGET-10-PAPMVB-04,TARGET-10-PARFTR-04,TARGET-10-PARIAD-04	No	4	FALSE	FALSE	No	0.2372378134479852
ALL	ENSG00000103932.11	RPAP1	ENST00000304330.8	ENST00000561603.5	1	1	1	1	TARGET-10-PANZPJ-04,TARGET-10-PAPJIB-04,TARGET-10-PAPNFY-04,TARGET-10-PARMXF-04,TARGET-10-PASHUI-04,TARGET-10-PATCTI-04	No	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000140553.16	UNC45A	ENST00000418476.2	ENST00000394275.6	1	1	1	1	TARGET-10-PANSHK-04,TARGET-10-PANYGB-04,TARGET-10-PAPJIB-04,TARGET-10-PAPMFI-04,TARGET-10-PAPNFY-04,TARGET-10-PAPZST-04	No	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000103226.17	NOMO3	ENST00000399336.8	ENST00000263012.10	1	1	1	1	TARGET-10-PAPDJM-04,TARGET-10-PAPDWT-04,TARGET-10-PAPMVB-04,TARGET-10-PAPPGN-04,TARGET-10-PARBRK-04,TARGET-10-PARGHW-04	No	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000181625.17	SLX1B	ENST00000330181.9	ENST00000351581.4	1	1	1	1	TARGET-10-PAPAGK-04,TARGET-10-PAPEJN-04,TARGET-10-PAPNMY-04,TARGET-10-PAPZST-04,TARGET-10-PARBVI-04,TARGET-10-PATCTI-04	Driver interactor	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000158792.15	SPATA2L	ENST00000289805.9	ENST00000335360.11	1	1	1	1	TARGET-10-PANYYV-04,TARGET-10-PAPDJM-04,TARGET-10-PAPGFP-04,TARGET-10-PAPNFY-04,TARGET-10-PAPRCS-04,TARGET-10-PARGVZ-04	No	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000171953.15	ATPAF2	ENST00000474627.7	ENST00000585101.5	1	1	1	1	TARGET-10-PANUSN-04,TARGET-10-PAPAGK-04,TARGET-10-PAPDWT-04,TARGET-10-PAPJIB-04,TARGET-10-PARAKF-04,TARGET-10-PARJZZ-04	No	6	TRUE	FALSE	Yes	0.03882977718575788
ALL	ENSG00000197063.10	MAFG	ENST00000357736.8	ENST00000392366.7	1	1	0	1	TARGET-10-PANUSN-04,TARGET-10-PAPDJM-04,TARGET-10-PAPDWT-04,TARGET-10-PAPIJB-04,TARGET-10-PAPRCS-04,TARGET-10-PATCTI-04	Driver interactor	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000141551.14	CSNK1D	ENST00000314028.10	ENST00000392334.6	1	1	1	1	TARGET-10-PANUSN-04,TARGET-10-PAPNNX-04,TARGET-10-PAPZNK-04,TARGET-10-PAPZST-04,TARGET-10-PARFTR-04,TARGET-10-PARPRW-04	Driver interactor	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000101557.14	USP14	ENST00000261601.7	ENST00000383589.6	1	1	1	1	TARGET-10-PAPJIB-04,TARGET-10-PAPLDL-04,TARGET-10-PAPRCS-04,TARGET-10-PAPZST-04	No	4	FALSE	TRUE	Yes	0.2372378134479852
ALL	ENSG00000085415.15	SEH1L	ENST00000262124.15	ENST00000399892.6	1	1	1	1	TARGET-10-PAPDJM-04,TARGET-10-PAPNNX-04,TARGET-10-PAPVTA-04,TARGET-10-PARIAD-04,TARGET-10-PARJZZ-04,TARGET-10-PARLAF-04	Driver interactor	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000101782.14	RIOK3	ENST00000339486.7	ENST00000581585.5	1	1	1	1	TARGET-10-PANSHK-04,TARGET-10-PAPHJF-04,TARGET-10-PAPZNK-04,TARGET-10-PARFLV-04	No	4	FALSE	FALSE	No	0.2372378134479852
ALL	ENSG00000141664.9	ZCCHC2	ENST00000586834.1	ENST00000269499.9	1	1	1	1	TARGET-10-PAPDJM-04,TARGET-10-PAPLDL-04,TARGET-10-PAPRCS-04,TARGET-10-PAPZST-04,TARGET-10-PARAKF-04,TARGET-10-PARPRW-04	No	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000197766.7	CFD	ENST00000327726.10	ENST00000592860.2	1	1	1	1	TARGET-10-PANYYV-04,TARGET-10-PAPNNX-04,TARGET-10-PAPVTA-04,TARGET-10-PAPZNK-04,TARGET-10-PARGHW-04,TARGET-10-PARJSR-04	No	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000141971.12	MVB12A	ENST00000317040.11	ENST00000543795.5	1	1	0	1	TARGET-10-PAPNNX-04,TARGET-10-PAPRCS-04,TARGET-10-PAPZNK-04,TARGET-10-PAPZST-04,TARGET-10-PARIAD-04,TARGET-10-PASKAY-04	No	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000167378.8	IRGQ	ENST00000422989.5	ENST00000602269.1	1	1	0	1	TARGET-10-PAPDJM-04,TARGET-10-PAPIJB-04,TARGET-10-PAPJIB-04,TARGET-10-PAPRCS-04,TARGET-10-PAPZNK-04,TARGET-10-PASKAY-04	No	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000197619.13	ZNF615	ENST00000594083.5	ENST00000376716.9	1	1	1	1	TARGET-10-PAPDJM-04,TARGET-10-PAPJHB-04,TARGET-10-PARBVI-04,TARGET-10-PARXMC-04	No	4	FALSE	FALSE	No	0.2372378134479852
ALL	ENSG00000256087.6	ZNF432	ENST00000594154.5	ENST00000597273.1	1	1	1	1	TARGET-10-PAPLDL-04,TARGET-10-PAPZNK-04,TARGET-10-PAPZST-04,TARGET-10-PARAKF-04,TARGET-10-PASKAY-04	No	5	TRUE	TRUE	Yes	0.10398174620766079
ALL	ENSG00000274602.4	PI4KAP1	ENST00000610959.4	ENST00000611748.1	0	0	0	1	TARGET-10-PAPEAB-04,TARGET-10-PAPVTA-04,TARGET-10-PARGFV-04,TARGET-10-PARGVZ-04,TARGET-10-PARLAF-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000100029.17	PES1	ENST00000354694.11	ENST00000402284.7	1	1	1	1	TARGET-10-PAPACP-04,TARGET-10-PAPNMY-04,TARGET-10-PARGHW-04,TARGET-10-PARNMF-04	No	4	FALSE	FALSE	No	0.2372378134479852
ALL	ENSG00000198792.12	TMEM184B	ENST00000361906.7	ENST00000361684.8	1	1	0	1	TARGET-10-PANSHK-04,TARGET-10-PANUSN-04,TARGET-10-PAPEAB-04,TARGET-10-PAPEJN-04,TARGET-10-PAPHJF-04,TARGET-10-PARGFV-04	No	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000179750.15	APOBEC3B	ENST00000333467.3	ENST00000402182.7	1	1	1	1	TARGET-10-PANXPE-04,TARGET-10-PAPACP-04,TARGET-10-PAPEAB-04,TARGET-10-PAPLDM-04,TARGET-10-PAPNMY-04,TARGET-10-PARIAD-04	No	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000101843.18	PSMD10	ENST00000217958.7	ENST00000340200.5	1	1	1	1	TARGET-10-PANYGB-04,TARGET-10-PAPEFH-04,TARGET-10-PAPNNX-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000158290.16	CUL4B	ENST00000371322.9	ENST00000336592.10	1	1	1	1	TARGET-10-PAPACP-04,TARGET-10-PAPAGK-04,TARGET-10-PAPZST-04,TARGET-10-PARAKF-04,TARGET-10-PARJZZ-04,TARGET-10-PARLAF-04	Driver	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000162601.9	MYSM1	ENST00000622766.1	ENST00000472487.5	1	1	1	1	TARGET-10-PAPJIB-04,TARGET-10-PAPRCS-04,TARGET-10-PARAKF-04,TARGET-10-PARBRK-04,TARGET-10-PARLAF-04	No	5	TRUE	FALSE	Yes	0.10398174620766079
ALL	ENSG00000065243.18	PKN2	ENST00000370521.7	ENST00000316005.11	1	1	1	1	TARGET-10-PAPZNK-04,TARGET-10-PARGHW-04,TARGET-10-PARLAF-04	No	3	TRUE	TRUE	Yes	0.45309753864995794
ALL	ENSG00000077157.20	PPP1R12B	ENST00000391959.4	ENST00000480184.5	1	1	1	1	TARGET-10-PAPDJM-04,TARGET-10-PAPIJB-04,TARGET-10-PARGHW-04	No	3	TRUE	FALSE	Yes	0.45309753864995794
ALL	ENSG00000189292.15	FAM150B	ENST00000403610.8	ENST00000401503.5	1	1	1	1	TARGET-10-PAPGFP-04,TARGET-10-PAPPGN-04,TARGET-10-PAPZST-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000138018.17	EPT1	ENST00000260585.11	ENST00000613142.4	1	1	1	1	TARGET-10-PAPAGK-04,TARGET-10-PAPIJB-04,TARGET-10-PAPSPG-04,TARGET-10-PAPZNK-04,TARGET-10-PARJSR-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000234072.1	AC074117.10	ENST00000447070.1	ENST00000412749.1	0	0	0	1	TARGET-10-PAPAGK-04,TARGET-10-PAPISG-04,TARGET-10-PAPRCS-04,TARGET-10-PAPSPG-04,TARGET-10-PARGHW-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000163806.15	SPDYA	ENST00000379579.8	ENST00000334056.9	1	1	0	1	TARGET-10-PAPEJN-04,TARGET-10-PAPJIB-04,TARGET-10-PARGFV-04,TARGET-10-PARLAF-04,TARGET-10-PASFXA-04	Driver interactor	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000068724.15	TTC7A	ENST00000319190.9	ENST00000394850.6	1	1	1	1	TARGET-10-PANSDA-04,TARGET-10-PANTSM-04,TARGET-10-PANUSN-04,TARGET-10-PAPMVB-04,TARGET-10-PARGHW-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000162869.15	PPP1R21	ENST00000294952.12	ENST00000281394.8	1	1	1	1	TARGET-10-PANXPE-04,TARGET-10-PAPZST-04,TARGET-10-PARGHW-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000115392.11	FANCL	ENST00000233741.8	ENST00000403295.7	1	1	1	1	TARGET-10-PAPNFY-04,TARGET-10-PAPZST-04,TARGET-10-PATCTI-04	Driver	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000168887.10	C2orf68	ENST00000306336.5	ENST00000409734.3	1	1	1	1	TARGET-10-PANXPE-04,TARGET-10-PAPNFY-04,TARGET-10-PARBVI-04,TARGET-10-PARIAD-04,TARGET-10-PARLAF-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000115523.16	GNLY	ENST00000263863.8	ENST00000409696.7	1	1	1	1	TARGET-10-PAPDUV-04,TARGET-10-PAPDWT-04,TARGET-10-PAPLDM-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000183281.14	PLGLB1	ENST00000409310.6	ENST00000409801.5	1	0	1	1	TARGET-10-PAPEFH-04,TARGET-10-PAPGFP-04,TARGET-10-PAPNMY-04,TARGET-10-PAPSPG-04,TARGET-10-PARGVZ-04	No	5	TRUE	FALSE	Yes	0.10398174620766079
ALL	ENSG00000174501.14	ANKRD36C	ENST00000612359.4	ENST00000619511.1	1	1	1	1	TARGET-10-PAPAGK-04,TARGET-10-PAPEFH-04,TARGET-10-PARPRW-04	No	3	TRUE	FALSE	Yes	0.45309753864995794
ALL	ENSG00000144118.13	RALB	ENST00000272519.9	ENST00000631312.2	1	1	1	1	TARGET-10-PAPZST-04,TARGET-10-PARAKF-04,TARGET-10-PARJZZ-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000119004.14	CYP20A1	ENST00000611416.4	ENST00000356079.8	1	1	1	1	TARGET-10-PANUSN-04,TARGET-10-PAPAGK-04,TARGET-10-PAPZNK-04,TARGET-10-PAPZST-04,TARGET-10-PARPRW-04	No	5	TRUE	FALSE	Yes	0.10398174620766079
ALL	ENSG00000163599.14	CTLA4	ENST00000302823.7	ENST00000295854.10	1	1	1	1	TARGET-10-PAPEFH-04,TARGET-10-PARJSR-04,TARGET-10-PATCTI-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000115020.16	PIKFYVE	ENST00000264380.8	ENST00000392202.7	1	1	1	1	TARGET-10-PANTSM-04,TARGET-10-PAPDJM-04,TARGET-10-PAPEFH-04,TARGET-10-PAPSPG-04,TARGET-10-PARGHW-04	No	5	TRUE	FALSE	Yes	0.10398174620766079
ALL	ENSG00000144445.15	KANSL1L	ENST00000281772.13	ENST00000418791.5	1	1	1	1	TARGET-10-PAPZST-04,TARGET-10-PARJZZ-04,TARGET-10-PATCTI-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000144468.16	RHBDD1	ENST00000341329.7	ENST00000392062.6	1	1	0	1	TARGET-10-PAPHJF-04,TARGET-10-PAPISG-04,TARGET-10-PAPJIB-04,TARGET-10-PARGVZ-04,TARGET-10-PATCTI-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000144645.13	OSBPL10	ENST00000396556.6	ENST00000438237.6	1	1	1	1	TARGET-10-PAPDJM-04,TARGET-10-PAPIJB-04,TARGET-10-PAPLDL-04,TARGET-10-PAPNNX-04,TARGET-10-PAPSPN-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000164054.15	SHISA5	ENST00000426002.5	ENST00000296444.6	1	1	1	1	TARGET-10-PANYYV-04,TARGET-10-PAPDJM-04,TARGET-10-PAPEAB-04,TARGET-10-PAPJIB-04	No	4	FALSE	FALSE	No	0.2372378134479852
